"","seqnames","start","end","width","strand"
"1","NW_016094857.1",126281,126281,1,"+"
"2","NW_016094251.1",4038088,4038088,1,"-"
"3","NW_016094244.1",4132927,4132927,1,"-"
"4","NW_016094314.1",37646,37646,1,"-"
"5","NW_016094241.1",8949658,8949658,1,"-"
"6","NW_016094422.1",273848,273848,1,"+"
"7","NW_016094626.1",165677,165677,1,"-"
"8","NW_016094320.1",1895620,1895620,1,"-"
"9","NW_016094260.1",953047,953047,1,"+"
"10","NW_016094329.1",1794006,1794006,1,"+"
"11","NW_016094382.1",214873,214873,1,"-"
"12","NW_016094434.1",137907,137907,1,"+"
"13","NW_016094659.1",83690,83690,1,"-"
"14","NW_016094359.1",168425,168425,1,"-"
"15","NW_016094841.1",24785,24785,1,"+"
"16","NW_016094241.1",10869395,10869395,1,"-"
"17","NW_016094267.1",3563235,3563235,1,"-"
"18","NW_016094359.1",205856,205856,1,"+"
"19","NW_016094554.1",396263,396263,1,"-"
"20","NW_016094247.1",2863266,2863266,1,"-"
"21","NW_016094246.1",7407702,7407702,1,"+"
"22","NW_016094349.1",933882,933882,1,"-"
"23","NW_016094336.1",1644869,1644869,1,"-"
"24","NW_016094241.1",8949657,8949657,1,"+"
"25","NW_016094247.1",6969839,6969839,1,"-"
"26","NW_016094682.1",224756,224756,1,"+"
"27","NW_016094252.1",1328606,1328606,1,"-"
"28","NW_016094332.1",213427,213427,1,"+"
"29","NW_016094257.1",4069419,4069419,1,"+"
"30","NW_016094289.1",2779649,2779649,1,"+"
"31","NW_016094255.1",3939730,3939730,1,"-"
"32","NW_016094443.1",24673,24673,1,"+"
"33","NW_016094283.1",1798074,1798074,1,"-"
"34","NW_016094821.1",9537,9537,1,"+"
"35","NW_016094410.1",181712,181712,1,"+"
"36","NW_016094449.1",591987,591987,1,"+"
"37","NW_016094413.1",123488,123488,1,"+"
"38","NW_016094388.1",97965,97965,1,"+"
"39","NW_016094261.1",1475783,1475783,1,"+"
"40","NW_016094339.1",219691,219691,1,"+"
"41","NW_016094287.1",226603,226603,1,"-"
"42","NW_016094283.1",1281945,1281945,1,"-"
"43","NW_016094267.1",3102551,3102551,1,"-"
"44","NW_016094240.1",2881295,2881295,1,"-"
"45","NW_016094250.1",6170192,6170192,1,"-"
"46","NW_016094299.1",1750467,1750467,1,"-"
"47","NW_016095953.1",10887,10887,1,"+"
"48","NW_016094629.1",11982,11982,1,"-"
"49","NW_016094418.1",698408,698408,1,"-"
"50","NW_016096051.1",1468,1468,1,"-"
"51","NW_016094532.1",74889,74889,1,"-"
"52","NW_016094403.1",258611,258611,1,"-"
"53","NW_016094548.1",230921,230921,1,"+"
"54","NW_016094633.1",264381,264381,1,"-"
"55","NW_016094244.1",4950639,4950639,1,"+"
"56","NW_016094260.1",1478354,1478354,1,"+"
"57","NW_016094298.1",512478,512478,1,"+"
"58","NW_016094370.1",556629,556629,1,"-"
"59","NW_016094360.1",302552,302552,1,"-"
"60","NW_016094480.1",530526,530526,1,"-"
"61","NW_016094260.1",1391262,1391262,1,"+"
"62","NW_016094705.1",85505,85505,1,"+"
"63","NW_016094355.1",483817,483817,1,"+"
"64","NW_016094297.1",1347557,1347557,1,"-"
"65","NW_016096948.1",6800,6800,1,"+"
"66","NW_016094253.1",434300,434300,1,"+"
"67","NW_016094373.1",583246,583246,1,"-"
"68","NW_016094272.1",3352258,3352258,1,"-"
"69","NW_016094316.1",662500,662500,1,"+"
"70","NW_016094430.1",502233,502233,1,"-"
"71","NW_016094322.1",498586,498586,1,"+"
"72","NW_016094274.1",3671585,3671585,1,"+"
"73","NW_016094284.1",2222187,2222187,1,"+"
"74","NW_016094989.1",42159,42159,1,"-"
"75","NW_016094494.1",382845,382845,1,"+"
"76","NW_016094305.1",1387286,1387286,1,"-"
"77","NW_016094246.1",4276417,4276417,1,"+"
"78","NW_016095056.1",21898,21898,1,"-"
"79","NW_016094542.1",373750,373750,1,"-"
"80","NW_016094418.1",397324,397324,1,"-"
"81","NW_016094273.1",1670976,1670976,1,"-"
"82","NW_016094324.1",798181,798181,1,"+"
"83","NW_016094268.1",2887946,2887946,1,"+"
"84","NW_016094261.1",4390496,4390496,1,"+"
"85","NW_016094744.1",122619,122619,1,"+"
"86","NW_016094426.1",677151,677151,1,"-"
"87","NW_016094278.1",1772709,1772709,1,"+"
"88","NW_016094429.1",404680,404680,1,"-"
"89","NW_016094251.1",5013701,5013701,1,"-"
"90","NW_016094324.1",1648870,1648870,1,"+"
"91","NW_016094603.1",119498,119498,1,"+"
"92","NW_016094271.1",1734818,1734818,1,"+"
"93","NW_016094663.1",207899,207899,1,"+"
"94","NW_016094249.1",6326638,6326638,1,"+"
"95","NW_016096179.1",2005,2005,1,"+"
"96","NW_016094348.1",303640,303640,1,"+"
"97","NW_016094243.1",7992096,7992096,1,"-"
"98","NW_016094440.1",319306,319306,1,"-"
"99","NW_016094274.1",487275,487275,1,"+"
"100","NW_016094240.1",8467543,8467543,1,"-"
"101","NW_016094250.1",1992797,1992797,1,"+"
"102","NW_016094242.1",6103267,6103267,1,"+"
"103","NW_016094251.1",6126015,6126015,1,"-"
"104","NW_016094565.1",107287,107287,1,"-"
"105","NW_016094588.1",166642,166642,1,"-"
"106","NW_016094415.1",554793,554793,1,"-"
"107","NW_016094487.1",299418,299418,1,"-"
"108","NW_016094391.1",441041,441041,1,"-"
"109","NW_016094265.1",2478849,2478849,1,"-"
"110","NW_016094270.1",1321037,1321037,1,"-"
"111","NW_016094275.1",3034156,3034156,1,"-"
"112","NW_016094528.1",240085,240085,1,"+"
"113","NW_016094251.1",2119182,2119182,1,"+"
"114","NW_016094552.1",18859,18859,1,"-"
"115","NW_016094314.1",439004,439004,1,"-"
"116","NW_016094431.1",259994,259994,1,"+"
"117","NW_016095238.1",27959,27959,1,"+"
"118","NW_016094602.1",270952,270952,1,"+"
"119","NW_016094244.1",5041477,5041477,1,"-"
"120","NW_016094268.1",3822615,3822615,1,"+"
"121","NW_016094529.1",256944,256944,1,"+"
"122","NW_016094293.1",864326,864326,1,"-"
"123","NW_016094249.1",5533702,5533702,1,"+"
"124","NW_016095007.1",43992,43992,1,"-"
"125","NW_016094980.1",24904,24904,1,"-"
"126","NW_016096862.1",2379,2379,1,"-"
"127","NW_016094332.1",559771,559771,1,"+"
"128","NW_016094469.1",504282,504282,1,"-"
"129","NW_016094254.1",1393838,1393838,1,"-"
"130","NW_016095622.1",14135,14135,1,"-"
"131","NW_016094242.1",5690680,5690680,1,"-"
"132","NW_016094306.1",1869868,1869868,1,"-"
"133","NW_016094469.1",550850,550850,1,"+"
"134","NW_016094259.1",3638482,3638482,1,"+"
"135","NW_016094271.1",725985,725985,1,"+"
"136","NW_016094243.1",675012,675012,1,"+"
"137","NW_016094287.1",138104,138104,1,"+"
"138","NW_016094267.1",1920842,1920842,1,"-"
"139","NW_016094246.1",475411,475411,1,"+"
"140","NW_016094512.1",18351,18351,1,"+"
"141","NW_016094247.1",1721402,1721402,1,"+"
"142","NW_016094241.1",8585183,8585183,1,"-"
"143","NW_016095136.1",46569,46569,1,"+"
"144","NW_016094529.1",257345,257345,1,"-"
"145","NW_016095468.1",17161,17161,1,"-"
"146","NW_016094251.1",592411,592411,1,"-"
"147","NW_016094361.1",447024,447024,1,"+"
"148","NW_016094241.1",10421890,10421890,1,"-"
"149","NW_016095560.1",13910,13910,1,"-"
"150","NW_016094372.1",1182071,1182071,1,"-"
"151","NW_016094541.1",49387,49387,1,"-"
"152","NW_016094240.1",3959503,3959503,1,"-"
"153","NW_016096456.1",6156,6156,1,"-"
"154","NW_016094306.1",590645,590645,1,"+"
"155","NW_016094253.1",2932379,2932379,1,"-"
"156","NW_016094317.1",2100838,2100838,1,"-"
"157","NW_016094300.1",1289498,1289498,1,"-"
"158","NW_016094372.1",663268,663268,1,"-"
"159","NW_016094263.1",4300766,4300766,1,"+"
"160","NW_016094583.1",336004,336004,1,"-"
"161","NW_016095708.1",1401,1401,1,"+"
"162","NW_016094337.1",1816902,1816902,1,"-"
"163","NW_016094243.1",4770158,4770158,1,"+"
"164","NW_016094745.1",81429,81429,1,"-"
"165","NW_016094339.1",159382,159382,1,"-"
"166","NW_016094259.1",827384,827384,1,"-"
"167","NW_016094693.1",146868,146868,1,"+"
"168","NW_016094300.1",925431,925431,1,"-"
"169","NW_016094476.1",402784,402784,1,"+"
"170","NW_016096622.1",5883,5883,1,"-"
"171","NW_016094303.1",82240,82240,1,"-"
"172","NW_016094269.1",3268656,3268656,1,"+"
"173","NW_016094316.1",2026462,2026462,1,"+"
"174","NW_016094285.1",1292304,1292304,1,"+"
"175","NW_016094275.1",1926090,1926090,1,"-"
"176","NW_016094245.1",8285878,8285878,1,"-"
"177","NW_016094839.1",85885,85885,1,"-"
"178","NW_016094783.1",154199,154199,1,"-"
"179","NW_016094682.1",78833,78833,1,"+"
"180","NW_016094519.1",36982,36982,1,"-"
"181","NW_016094462.1",263364,263364,1,"+"
"182","NW_016094259.1",792683,792683,1,"-"
"183","NW_016094261.1",725486,725486,1,"-"
"184","NW_016094447.1",619693,619693,1,"+"
"185","NW_016094340.1",49653,49653,1,"+"
"186","NW_016094240.1",9882719,9882719,1,"-"
"187","NW_016094458.1",415241,415241,1,"+"
"188","NW_016094310.1",1819258,1819258,1,"+"
"189","NW_016094240.1",4383539,4383539,1,"+"
"190","NW_016094277.1",1855430,1855430,1,"+"
"191","NW_016094407.1",684185,684185,1,"-"
"192","NW_016094847.1",69059,69059,1,"-"
"193","NW_016094279.1",178792,178792,1,"+"
"194","NW_016096584.1",3266,3266,1,"+"
"195","NW_016094251.1",1662748,1662748,1,"+"
"196","NW_016094269.1",3375817,3375817,1,"+"
"197","NW_016094366.1",1029805,1029805,1,"+"
"198","NW_016094241.1",4207752,4207752,1,"-"
"199","NW_016094435.1",718205,718205,1,"-"
"200","NW_016096974.1",512,512,1,"-"
"201","NW_016094904.1",102860,102860,1,"+"
"202","NW_016094660.1",70267,70267,1,"-"
"203","NW_016094253.1",4306353,4306353,1,"-"
"204","NW_016094291.1",2780245,2780245,1,"+"
"205","NW_016094309.1",115979,115979,1,"+"
"206","NW_016094246.1",4155320,4155320,1,"-"
"207","NW_016094949.1",78608,78608,1,"+"
"208","NW_016094674.1",45623,45623,1,"-"
"209","NW_016094367.1",236197,236197,1,"+"
"210","NW_016094246.1",7120950,7120950,1,"+"
"211","NW_016094295.1",2566502,2566502,1,"+"
"212","NW_016094314.1",1969067,1969067,1,"+"
"213","NW_016094597.1",265611,265611,1,"-"
"214","NW_016094356.1",736289,736289,1,"+"
"215","NW_016094246.1",4575171,4575171,1,"-"
"216","NW_016095400.1",10741,10741,1,"+"
"217","NW_016094327.1",352954,352954,1,"-"
"218","NW_016094279.1",1710552,1710552,1,"+"
"219","NW_016094365.1",418881,418881,1,"-"
"220","NW_016094736.1",152344,152344,1,"+"
"221","NW_016094286.1",2283415,2283415,1,"-"
"222","NW_016095136.1",23055,23055,1,"+"
"223","NW_016094357.1",914422,914422,1,"-"
"224","NW_016094242.1",9641215,9641215,1,"+"
"225","NW_016094241.1",758524,758524,1,"+"
"226","NW_016094339.1",44170,44170,1,"+"
"227","NW_016094241.1",3409321,3409321,1,"-"
"228","NW_016094460.1",377086,377086,1,"+"
"229","NW_016094549.1",116147,116147,1,"-"
"230","NW_016094430.1",438175,438175,1,"+"
"231","NW_016094280.1",1947031,1947031,1,"-"
"232","NW_016094760.1",73574,73574,1,"+"
"233","NW_016094485.1",272120,272120,1,"+"
"234","NW_016094253.1",3944386,3944386,1,"+"
"235","NW_016094343.1",488698,488698,1,"+"
"236","NW_016094243.1",8727527,8727527,1,"-"
"237","NW_016094322.1",1858083,1858083,1,"-"
"238","NW_016094356.1",751586,751586,1,"-"
"239","NW_016094252.1",720462,720462,1,"-"
"240","NW_016094650.1",207085,207085,1,"-"
"241","NW_016094385.1",965046,965046,1,"+"
"242","NW_016094241.1",8174235,8174235,1,"+"
"243","NW_016094297.1",1690277,1690277,1,"+"
"244","NW_016094637.1",98184,98184,1,"-"
"245","NW_016096666.1",6563,6563,1,"+"
"246","NW_016094565.1",41775,41775,1,"+"
