EntrezGeneID	Position	Hyb_RJ4_09_Koce.bam	Hyb_RJ4_17_Koce.bam	Hyb_RJ5_08_Koce.bam	Hyb_RJ5_11_Koce.bam	Hyb_RJ5_43_Koce.bam	Hyb_RJ5_47_Koce.bam	Hyb_RJ5Kher_26_Kher.bam	Kher_RJ4Kher_27_Kher.bam	Kher_RJ4Kher_28_Kher.bam	Kher_RJ4Kher_29_Kher.bam	Kher_RJ4Kher_30_Kher.bam	Kher_RJ4Kher_31_Kher.bam	Kher_RJ4Kher_37_Kher.bam	Kher_RJ4Kher_39_Kher.bam	Kher_RJ4Kher_40_Kher.bam	Kher_RJ4Kher_41_Kher.bam	Kher_RJ4Kher_42_Kher.bam	Kher_RJ4Kher_43_Kher.bam	Kher_RJ4Kher_44_Kher.bam	Kher_RJ5Kher_20_Kher.bam	Kher_RJ5Kher_21_Kher.bam	Kher_RJ5Kher_22_Kher.bam	Kher_RJ5Kher_24_Kher.bam	Kher_RJ5Kher_25_Kher.bam	Kher_RJ5Kher_29_Kher.bam	Kher_RJ5Kher_30_Kher.bam	Kher_RJ5Kher_31_Kher.bam	Kher_RJ5Kher_32_Kher.bam	Koce_RJ4_04_Koce.bam	Koce_RJ4_05_Koce.bam	Koce_RJ4_06_Koce.bam	Koce_RJ4_10_Koce.bam	Koce_RJ4_11_Koce.bam	Koce_RJ4_13_Koce.bam	Koce_RJ4_16_Koce.bam	Koce_RJ4_18_Koce.bam	Koce_RJ4_19_Koce.bam	Koce_RJ5_06_Koce.bam	Koce_RJ5_10_Koce.bam
NW_016094240.1	244859	25	16	35	20	1	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	75	52	62	20	68	109	57	63	34	55
NW_016094240.1	255817	48	4	69	43	3	1	3	81	56	220	101	91	39	33	188	72	26	88	121	90	64	116	61	85	97	57	159	20	0	2	0	8	0	15	8	0	0	0	0
NW_016094240.1	352758	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	0	0	1	3	2
NW_016094240.1	673123	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	799320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	890958	132	45	79	151	0	0	13	386	177	539	233	283	104	114	712	139	77	447	358	197	79	136	98	79	156	54	207	72	0	5	0	1	9	22	10	0	0	6	6
NW_016094240.1	1044227	125	22	84	64	5	0	14	228	78	285	190	154	66	76	291	130	53	183	131	176	62	140	82	104	151	37	198	40	0	0	0	8	0	1	18	5	0	1	5
NW_016094240.1	1044759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	1057726	19	7	36	20	3	1	9	98	34	98	63	87	18	28	102	71	12	60	66	68	27	36	35	41	51	16	87	14	0	0	0	4	0	4	6	0	0	1	1
NW_016094240.1	1364983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NW_016094240.1	1379715	1	0	3	1	0	0	0	5	3	8	10	3	1	3	11	5	2	4	1	3	3	4	1	6	4	2	6	1	0	0	0	1	0	0	0	0	0	0	1
NW_016094240.1	1459995	140	176	230	105	5	12	5	10	0	4	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	278	454	271	538	111	643	607	297	357	132	235
NW_016094240.1	1483333	95	97	148	128	3	4	14	36	23	56	36	28	6	20	79	29	1	41	35	42	10	20	22	21	35	7	47	24	163	264	277	170	83	270	427	182	259	132	160
NW_016094240.1	1483393	172	116	292	255	5	10	23	285	134	413	191	149	79	114	414	110	33	316	317	267	131	140	87	106	241	33	285	75	161	264	276	188	83	281	479	182	259	132	173
