"","seqnames","start","end","width","strand"
"1","NW_016094607.1",232272,232272,1,"+"
"2","NW_016094244.1",1282400,1282400,1,"+"
"3","NW_016094750.1",142072,142072,1,"-"
"4","NW_016094388.1",251374,251374,1,"-"
"5","NW_016094566.1",102433,102433,1,"+"
"6","NW_016094258.1",3332665,3332665,1,"+"
"7","NW_016094274.1",451806,451806,1,"+"
"8","NW_016094368.1",98789,98789,1,"+"
"9","NW_016095515.1",12792,12792,1,"-"
"10","NW_016094247.1",5668906,5668906,1,"+"
"11","NW_016094320.1",1880040,1880040,1,"-"
"12","NW_016094442.1",540522,540522,1,"-"
"13","NW_016094277.1",2280199,2280199,1,"+"
"14","NW_016094421.1",619325,619325,1,"-"
"15","NW_016094354.1",983753,983753,1,"+"
"16","NW_016094291.1",1172075,1172075,1,"+"
"17","NW_016094331.1",1295459,1295459,1,"-"
"18","NW_016096920.1",2822,2822,1,"+"
"19","NW_016096767.1",472,472,1,"-"
"20","NW_016094244.1",6623888,6623888,1,"+"
"21","NW_016094341.1",381305,381305,1,"+"
"22","NW_016095284.1",12724,12724,1,"+"
"23","NW_016094248.1",6551872,6551872,1,"+"
"24","NW_016094378.1",839184,839184,1,"+"
"25","NW_016094340.1",1133010,1133010,1,"+"
"26","NW_016094246.1",7679478,7679478,1,"+"
"27","NW_016094826.1",39964,39964,1,"-"
"28","NW_016094396.1",759922,759922,1,"-"
"29","NW_016094316.1",649257,649257,1,"-"
"30","NW_016094267.1",4113811,4113811,1,"+"
"31","NW_016094269.1",1131444,1131444,1,"+"
"32","NW_016096272.1",4278,4278,1,"-"
"33","NW_016094272.1",560730,560730,1,"+"
"34","NW_016094260.1",3587615,3587615,1,"-"
"35","NW_016094594.1",187429,187429,1,"-"
"36","NW_016094254.1",5260800,5260800,1,"-"
"37","NW_016094952.1",23999,23999,1,"+"
"38","NW_016094386.1",171516,171516,1,"-"
"39","NW_016094248.1",3834854,3834854,1,"-"
"40","NW_016094327.1",606710,606710,1,"+"
"41","NW_016094429.1",336881,336881,1,"+"
"42","NW_016094461.1",471168,471168,1,"-"
"43","NW_016094245.1",7904939,7904939,1,"+"
"44","NW_016094386.1",171487,171487,1,"-"
"45","NW_016094632.1",137622,137622,1,"-"
"46","NW_016094314.1",1790971,1790971,1,"-"
"47","NW_016094537.1",79568,79568,1,"+"
"48","NW_016094389.1",414846,414846,1,"-"
"49","NW_016094274.1",478573,478573,1,"+"
"50","NW_016094403.1",671222,671222,1,"+"
"51","NW_016094326.1",881679,881679,1,"+"
"52","NW_016094502.1",8551,8551,1,"-"
"53","NW_016094414.1",897205,897205,1,"-"
"54","NW_016094261.1",1368419,1368419,1,"-"
"55","NW_016094527.1",303988,303988,1,"+"
"56","NW_016094282.1",3149278,3149278,1,"+"
"57","NW_016094677.1",202707,202707,1,"+"
"58","NW_016094693.1",195495,195495,1,"+"
"59","NW_016094253.1",917996,917996,1,"-"
"60","NW_016094329.1",1679686,1679686,1,"-"
"61","NW_016095113.1",1395,1395,1,"+"
"62","NW_016094643.1",201503,201503,1,"+"
"63","NW_016095845.1",2777,2777,1,"-"
"64","NW_016094250.1",5412433,5412433,1,"-"
"65","NW_016094256.1",2013930,2013930,1,"+"
"66","NW_016094260.1",4685766,4685766,1,"-"
"67","NW_016095388.1",16844,16844,1,"+"
"68","NW_016094316.1",2168109,2168109,1,"+"
"69","NW_016094412.1",639019,639019,1,"-"
"70","NW_016094249.1",2494378,2494378,1,"+"
"71","NW_016094377.1",127532,127532,1,"+"
"72","NW_016094267.1",2884137,2884137,1,"+"
"73","NW_016094306.1",1308541,1308541,1,"+"
"74","NW_016094587.1",224569,224569,1,"-"
"75","NW_016094252.1",144098,144098,1,"-"
"76","NW_016094247.1",5119518,5119518,1,"+"
"77","NW_016094301.1",1691751,1691751,1,"-"
"78","NW_016094250.1",2928527,2928527,1,"+"
"79","NW_016094241.1",7886178,7886178,1,"-"
"80","NW_016094313.1",1284170,1284170,1,"+"
"81","NW_016094255.1",380522,380522,1,"-"
"82","NW_016094508.1",350236,350236,1,"+"
"83","NW_016094249.1",5766280,5766280,1,"+"
"84","NW_016094327.1",726076,726076,1,"+"
"85","NW_016094321.1",316142,316142,1,"+"
"86","NW_016094509.1",115149,115149,1,"+"
"87","NW_016094310.1",1724399,1724399,1,"-"
"88","NW_016094315.1",613101,613101,1,"-"
"89","NW_016094286.1",2858332,2858332,1,"+"
"90","NW_016094243.1",3412520,3412520,1,"+"
"91","NW_016094336.1",659461,659461,1,"+"
"92","NW_016094792.1",123669,123669,1,"-"
