"","seqnames","start","end","width","strand"
"1","NW_016094265.1",697223,697223,1,"+"
"2","NW_016094247.1",5668906,5668906,1,"+"
"3","NW_016094968.1",80940,80940,1,"-"
"4","NW_016094607.1",232272,232272,1,"+"
"5","NW_016094320.1",1880040,1880040,1,"-"
"6","NW_016094378.1",344681,344681,1,"+"
"7","NW_016094359.1",187458,187458,1,"+"
"8","NW_016094405.1",878492,878492,1,"-"
"9","NW_016094244.1",1282400,1282400,1,"+"
"10","NW_016094750.1",142072,142072,1,"-"
"11","NW_016094700.1",170234,170234,1,"+"
"12","NW_016094274.1",3098219,3098219,1,"+"
"13","NW_016094242.1",6713600,6713600,1,"+"
"14","NW_016094394.1",919236,919236,1,"+"
"15","NW_016094286.1",1580367,1580367,1,"+"
"16","NW_016094258.1",3332665,3332665,1,"+"
"17","NW_016094263.1",4172182,4172182,1,"-"
"18","NW_016094509.1",115149,115149,1,"+"
"19","NW_016094301.1",363493,363493,1,"+"
"20","NW_016094253.1",5711445,5711445,1,"+"
"21","NW_016094642.1",206375,206375,1,"-"
"22","NW_016094411.1",394293,394293,1,"-"
"23","NW_016096272.1",4278,4278,1,"-"
"24","NW_016094243.1",1470881,1470881,1,"+"
"25","NW_016094386.1",171516,171516,1,"-"
"26","NW_016094269.1",731068,731068,1,"-"
"27","NW_016094398.1",222882,222882,1,"-"
"28","NW_016094266.1",2735777,2735777,1,"+"
"29","NW_016094566.1",345041,345041,1,"-"
"30","NW_016094368.1",98789,98789,1,"+"
"31","NW_016094354.1",512395,512395,1,"+"
"32","NW_016094320.1",1497569,1497569,1,"+"
"33","NW_016094593.1",25316,25316,1,"-"
"34","NW_016094242.1",318,318,1,"+"
"35","NW_016094273.1",3472260,3472260,1,"-"
"36","NW_016094265.1",1091952,1091952,1,"+"
"37","NW_016095186.1",2211,2211,1,"-"
"38","NW_016094270.1",1332414,1332414,1,"-"
"39","NW_016094354.1",803631,803631,1,"+"
"40","NW_016094358.1",918747,918747,1,"+"
"41","NW_016094258.1",4464131,4464131,1,"-"
"42","NW_016094251.1",2693375,2693375,1,"-"
"43","NW_016094369.1",1179033,1179033,1,"+"
"44","NW_016094671.1",49213,49213,1,"+"
"45","NW_016094269.1",67717,67717,1,"-"
"46","NW_016094250.1",5050356,5050356,1,"+"
"47","NW_016094240.1",1531511,1531511,1,"-"
"48","NW_016094535.1",124063,124063,1,"-"
"49","NW_016094354.1",983753,983753,1,"+"
"50","NW_016094304.1",1169252,1169252,1,"-"
"51","NW_016094286.1",1493850,1493850,1,"-"
"52","NW_016094457.1",531011,531011,1,"-"
"53","NW_016094312.1",1785464,1785464,1,"+"
"54","NW_016094327.1",726076,726076,1,"+"
"55","NW_016094430.1",666988,666988,1,"-"
"56","NW_016094269.1",4062448,4062448,1,"-"
"57","NW_016094427.1",136618,136618,1,"-"
"58","NW_016094274.1",3963744,3963744,1,"-"
"59","NW_016094334.1",925434,925434,1,"+"
"60","NW_016094244.1",3306733,3306733,1,"+"
"61","NW_016094283.1",904893,904893,1,"+"
"62","NW_016094327.1",1207051,1207051,1,"+"
"63","NW_016094324.1",380906,380906,1,"+"
"64","NW_016094379.1",148668,148668,1,"+"
"65","NW_016094315.1",1074573,1074573,1,"+"
"66","NW_016094544.1",28942,28942,1,"+"
"67","NW_016094782.1",162020,162020,1,"+"
"68","NW_016094382.1",810121,810121,1,"-"
"69","NW_016094575.1",320618,320618,1,"-"
"70","NW_016094310.1",1724399,1724399,1,"-"
"71","NW_016094284.1",2440278,2440278,1,"-"
"72","NW_016094278.1",2362473,2362473,1,"-"
"73","NW_016094292.1",1062345,1062345,1,"-"
"74","NW_016095433.1",3709,3709,1,"+"
"75","NW_016094310.1",1739409,1739409,1,"-"
"76","NW_016094274.1",1216896,1216896,1,"-"
"77","NW_016094243.1",3412520,3412520,1,"+"
"78","NW_016094272.1",560730,560730,1,"+"
"79","NW_016094249.1",6473865,6473865,1,"-"
"80","NW_016094287.1",1955571,1955571,1,"-"
"81","NW_016094275.1",1568959,1568959,1,"+"
"82","NW_016094968.1",88781,88781,1,"+"
"83","NW_016094272.1",1097805,1097805,1,"+"
"84","NW_016094240.1",1911022,1911022,1,"+"
"85","NW_016094248.1",1453559,1453559,1,"-"
"86","NW_016094424.1",705450,705450,1,"-"
"87","NW_016094249.1",2136657,2136657,1,"-"
"88","NW_016094274.1",3279743,3279743,1,"-"
"89","NW_016094257.1",264266,264266,1,"+"
"90","NW_016094551.1",146076,146076,1,"+"
"91","NW_016094406.1",144358,144358,1,"-"
"92","NW_016094244.1",370022,370022,1,"-"
"93","NW_016096453.1",2692,2692,1,"-"
"94","NW_016094606.1",171927,171927,1,"+"
"95","NW_016094350.1",1541705,1541705,1,"+"
"96","NW_016094356.1",462892,462892,1,"-"
"97","NW_016094258.1",632532,632532,1,"+"
"98","NW_016094254.1",4598959,4598959,1,"-"
"99","NW_016094246.1",22648,22648,1,"-"
"100","NW_016094663.1",7346,7346,1,"-"
"101","NW_016094394.1",45146,45146,1,"-"
"102","NW_016094282.1",2681120,2681120,1,"-"
"103","NW_016094389.1",839801,839801,1,"+"
"104","NW_016094365.1",958866,958866,1,"-"
"105","NW_016094240.1",5896721,5896721,1,"+"
"106","NW_016094390.1",542191,542191,1,"-"
"107","NW_016094322.1",360672,360672,1,"+"
"108","NW_016094257.1",3257336,3257336,1,"+"
"109","NW_016094327.1",479439,479439,1,"-"
"110","NW_016094338.1",1484171,1484171,1,"+"
"111","NW_016094243.1",3318869,3318869,1,"+"
"112","NW_016094520.1",400974,400974,1,"-"
"113","NW_016094524.1",178938,178938,1,"+"
"114","NW_016094380.1",224480,224480,1,"-"
"115","NW_016094270.1",1261157,1261157,1,"-"
"116","NW_016094347.1",1156017,1156017,1,"+"
"117","NW_016094247.1",3036872,3036872,1,"-"
"118","NW_016094297.1",802373,802373,1,"+"
"119","NW_016094325.1",1805288,1805288,1,"-"
"120","NW_016094552.1",254426,254426,1,"+"
"121","NW_016094638.1",159867,159867,1,"-"
"122","NW_016094556.1",95772,95772,1,"-"
"123","NW_016094273.1",2914781,2914781,1,"-"
"124","NW_016094244.1",1703993,1703993,1,"-"
"125","NW_016094291.1",994938,994938,1,"-"
"126","NW_016094393.1",990431,990431,1,"+"
"127","NW_016094246.1",3050592,3050592,1,"-"
"128","NW_016094240.1",3246100,3246100,1,"-"
"129","NW_016094352.1",740925,740925,1,"+"
"130","NW_016094241.1",277248,277248,1,"-"
"131","NW_016094291.1",1172075,1172075,1,"+"
"132","NW_016094288.1",1027213,1027213,1,"-"
"133","NW_016094255.1",1507613,1507613,1,"+"
"134","NW_016094337.1",124433,124433,1,"-"
"135","NW_016094540.1",348696,348696,1,"-"
"136","NW_016094260.1",1444897,1444897,1,"-"
"137","NW_016094261.1",2273720,2273720,1,"-"
"138","NW_016094414.1",703675,703675,1,"+"
"139","NW_016094244.1",2841643,2841643,1,"-"
"140","NW_016094277.1",133421,133421,1,"-"
"141","NW_016094317.1",489285,489285,1,"-"
"142","NW_016094241.1",4527474,4527474,1,"+"
"143","NW_016094300.1",915543,915543,1,"+"
"144","NW_016094471.1",222548,222548,1,"-"
"145","NW_016095021.1",20235,20235,1,"-"
"146","NW_016094292.1",2825431,2825431,1,"-"
"147","NW_016094378.1",988501,988501,1,"-"
"148","NW_016094241.1",11350385,11350385,1,"+"
"149","NW_016094247.1",6825006,6825006,1,"+"
"150","NW_016094828.1",123731,123731,1,"+"
"151","NW_016094350.1",583058,583058,1,"+"
"152","NW_016094243.1",3402239,3402239,1,"-"
"153","NW_016094453.1",408675,408675,1,"+"
"154","NW_016097203.1",806,806,1,"+"
"155","NW_016094310.1",970513,970513,1,"+"
"156","NW_016094311.1",865641,865641,1,"+"
"157","NW_016094516.1",8948,8948,1,"+"
"158","NW_016094269.1",1334457,1334457,1,"+"
"159","NW_016094310.1",869121,869121,1,"+"
"160","NW_016094474.1",137217,137217,1,"+"
"161","NW_016095029.1",29870,29870,1,"-"
"162","NW_016094389.1",106123,106123,1,"-"
"163","NW_016094279.1",1256408,1256408,1,"+"
"164","NW_016094276.1",3337955,3337955,1,"-"
"165","NW_016094332.1",1660084,1660084,1,"-"
"166","NW_016094621.1",95693,95693,1,"+"
"167","NW_016094250.1",4737158,4737158,1,"-"
"168","NW_016094654.1",84621,84621,1,"+"
"169","NW_016094597.1",86947,86947,1,"+"
"170","NW_016094693.1",174570,174570,1,"-"
"171","NW_016094622.1",68606,68606,1,"-"
"172","NW_016094261.1",1119937,1119937,1,"-"
"173","NW_016094266.1",200408,200408,1,"-"
"174","NW_016094558.1",14168,14168,1,"+"
"175","NW_016094513.1",136944,136944,1,"-"
"176","NW_016094336.1",659461,659461,1,"+"
"177","NW_016094314.1",1790971,1790971,1,"-"
"178","NW_016094260.1",497567,497567,1,"-"
"179","NW_016094663.1",26910,26910,1,"-"
"180","NW_016094342.1",365953,365953,1,"+"
"181","NW_016094677.1",43632,43632,1,"+"
"182","NW_016094326.1",313036,313036,1,"-"
"183","NW_016094313.1",1456948,1456948,1,"+"
"184","NW_016094245.1",7149524,7149524,1,"-"
"185","NW_016094331.1",1742355,1742355,1,"+"
"186","NW_016094263.1",2617686,2617686,1,"-"
"187","NW_016094389.1",845,845,1,"+"
"188","NW_016096897.1",5524,5524,1,"+"
"189","NW_016094277.1",3399310,3399310,1,"-"
"190","NW_016094967.1",78446,78446,1,"-"
"191","NW_016094241.1",10060490,10060490,1,"-"
"192","NW_016094553.1",258285,258285,1,"-"
"193","NW_016094327.1",2045350,2045350,1,"+"
"194","NW_016094252.1",4922635,4922635,1,"+"
"195","NW_016094253.1",4804975,4804975,1,"+"
"196","NW_016094298.1",1571897,1571897,1,"+"
"197","NW_016094249.1",1399171,1399171,1,"+"
"198","NW_016094278.1",1181374,1181374,1,"-"
"199","NW_016094246.1",5205198,5205198,1,"+"
"200","NW_016094336.1",110204,110204,1,"-"
"201","NW_016094350.1",577463,577463,1,"+"
"202","NW_016095020.1",65239,65239,1,"-"
"203","NW_016094442.1",547189,547189,1,"+"
"204","NW_016094269.1",2869847,2869847,1,"-"
"205","NW_016094310.1",556367,556367,1,"-"
"206","NW_016094257.1",1113506,1113506,1,"+"
"207","NW_016094993.1",46232,46232,1,"+"
"208","NW_016094588.1",149535,149535,1,"-"
"209","NW_016094325.1",91427,91427,1,"-"
"210","NW_016096879.1",1037,1037,1,"+"
"211","NW_016094597.1",272867,272867,1,"+"
"212","NW_016094527.1",379536,379536,1,"-"
"213","NW_016094242.1",4236537,4236537,1,"-"
"214","NW_016094376.1",838537,838537,1,"+"
"215","NW_016094331.1",1295459,1295459,1,"-"
"216","NW_016094377.1",127532,127532,1,"+"
"217","NW_016094364.1",886815,886815,1,"+"
"218","NW_016094249.1",6600791,6600791,1,"-"
"219","NW_016094608.1",191096,191096,1,"-"
"220","NW_016094442.1",111901,111901,1,"-"
"221","NW_016094316.1",2168109,2168109,1,"+"
"222","NW_016094358.1",1128756,1128756,1,"-"
"223","NW_016094255.1",380522,380522,1,"-"
"224","NW_016094421.1",619325,619325,1,"-"
"225","NW_016094437.1",136151,136151,1,"-"
"226","NW_016094295.1",122328,122328,1,"-"
"227","NW_016094308.1",2013392,2013392,1,"-"
"228","NW_016094254.1",2789298,2789298,1,"+"
"229","NW_016094290.1",3032691,3032691,1,"+"
"230","NW_016094240.1",10637789,10637789,1,"+"
"231","NW_016094259.1",84390,84390,1,"+"
"232","NW_016094632.1",137622,137622,1,"-"
"233","NW_016094274.1",451806,451806,1,"+"
"234","NW_016094592.1",291493,291493,1,"+"
"235","NW_016094361.1",10468,10468,1,"+"
"236","NW_016094373.1",931744,931744,1,"+"
"237","NW_016094338.1",587034,587034,1,"+"
"238","NW_016094449.1",452211,452211,1,"-"
"239","NW_016094445.1",223236,223236,1,"+"
"240","NW_016094274.1",3779190,3779190,1,"+"
"241","NW_016094261.1",3786158,3786158,1,"-"
"242","NW_016094263.1",2136596,2136596,1,"+"
"243","NW_016094431.1",783724,783724,1,"+"
"244","NW_016094275.1",1946659,1946659,1,"-"
"245","NW_016094258.1",1956444,1956444,1,"-"
"246","NW_016094358.1",736964,736964,1,"-"
"247","NW_016094312.1",1894729,1894729,1,"+"
"248","NW_016094249.1",2589104,2589104,1,"-"
"249","NW_016094443.1",407602,407602,1,"-"
"250","NW_016094396.1",834727,834727,1,"+"
"251","NW_016094568.1",97391,97391,1,"+"
"252","NW_016094270.1",3502598,3502598,1,"-"
"253","NW_016094272.1",1075733,1075733,1,"-"
"254","NW_016094322.1",390391,390391,1,"+"
"255","NW_016094522.1",431506,431506,1,"-"
"256","NW_016094643.1",201503,201503,1,"+"
"257","NW_016094501.1",146383,146383,1,"-"
"258","NW_016094304.1",1123150,1123150,1,"-"
"259","NW_016094394.1",240720,240720,1,"+"
"260","NW_016094246.1",900577,900577,1,"-"
"261","NW_016094348.1",669553,669553,1,"+"
"262","NW_016094442.1",547791,547791,1,"-"
"263","NW_016094360.1",1186878,1186878,1,"-"
"264","NW_016094594.1",187429,187429,1,"-"
"265","NW_016094902.1",22750,22750,1,"-"
"266","NW_016094265.1",3599378,3599378,1,"+"
"267","NW_016094390.1",122109,122109,1,"-"
"268","NW_016094260.1",3395175,3395175,1,"-"
"269","NW_016094307.1",1785156,1785156,1,"+"
"270","NW_016095332.1",5011,5011,1,"-"
"271","NW_016095876.1",12426,12426,1,"-"
"272","NW_016094278.1",1399289,1399289,1,"-"
"273","NW_016094337.1",870645,870645,1,"+"
"274","NW_016094609.1",159914,159914,1,"+"
"275","NW_016094372.1",214897,214897,1,"+"
"276","NW_016094289.1",1422854,1422854,1,"-"
"277","NW_016094323.1",1460442,1460442,1,"-"
"278","NW_016094241.1",7886178,7886178,1,"-"
"279","NW_016094299.1",2017004,2017004,1,"-"
"280","NW_016094259.1",2407457,2407457,1,"+"
"281","NW_016094274.1",3375728,3375728,1,"-"
"282","NW_016094260.1",2683043,2683043,1,"-"
"283","NW_016095511.1",4699,4699,1,"+"
"284","NW_016094489.1",345582,345582,1,"-"
"285","NW_016094243.1",2134746,2134746,1,"-"
"286","NW_016094340.1",1298026,1298026,1,"+"
"287","NW_016094273.1",1053843,1053843,1,"+"
"288","NW_016094284.1",359409,359409,1,"+"
"289","NW_016094254.1",4891727,4891727,1,"+"
"290","NW_016094250.1",6065633,6065633,1,"+"
"291","NW_016094412.1",160718,160718,1,"-"
"292","NW_016094240.1",11560503,11560503,1,"+"
"293","NW_016094260.1",292488,292488,1,"+"
"294","NW_016094272.1",3318222,3318222,1,"-"
"295","NW_016094270.1",2920325,2920325,1,"+"
"296","NW_016094415.1",921678,921678,1,"+"
"297","NW_016094513.1",170271,170271,1,"+"
"298","NW_016094346.1",913808,913808,1,"-"
"299","NW_016094525.1",283822,283822,1,"+"
"300","NW_016094338.1",518283,518283,1,"+"
"301","NW_016094294.1",2780105,2780105,1,"+"
"302","NW_016094315.1",1066503,1066503,1,"-"
"303","NW_016095621.1",12350,12350,1,"-"
"304","NW_016094257.1",2493371,2493371,1,"-"
"305","NW_016094242.1",8821991,8821991,1,"-"
"306","NW_016094261.1",4390496,4390496,1,"+"
"307","NW_016094287.1",2772850,2772850,1,"-"
"308","NW_016094252.1",4602475,4602475,1,"-"
"309","NW_016094306.1",855940,855940,1,"+"
"310","NW_016094257.1",3989424,3989424,1,"+"
"311","NW_016094556.1",190131,190131,1,"-"
"312","NW_016094276.1",993424,993424,1,"+"
"313","NW_016094633.1",28951,28951,1,"-"
"314","NW_016094333.1",650743,650743,1,"+"
"315","NW_016094261.1",2003844,2003844,1,"+"
"316","NW_016094400.1",96446,96446,1,"-"
"317","NW_016094502.1",8551,8551,1,"-"
"318","NW_016094244.1",6623888,6623888,1,"+"
"319","NW_016094252.1",1965749,1965749,1,"+"
"320","NW_016094493.1",529267,529267,1,"+"
"321","NW_016094548.1",186593,186593,1,"-"
"322","NW_016094303.1",1069169,1069169,1,"+"
"323","NW_016094250.1",2952059,2952059,1,"+"
"324","NW_016094305.1",2394919,2394919,1,"+"
"325","NW_016094745.1",81426,81426,1,"-"
"326","NW_016094702.1",137814,137814,1,"+"
"327","NW_016094274.1",525063,525063,1,"-"
"328","NW_016094258.1",4178183,4178183,1,"+"
"329","NW_016094515.1",105612,105612,1,"-"
"330","NW_016094311.1",1761370,1761370,1,"+"
"331","NW_016095006.1",5811,5811,1,"+"
"332","NW_016094551.1",146533,146533,1,"-"
"333","NW_016094288.1",2418454,2418454,1,"-"
"334","NW_016094264.1",110477,110477,1,"-"
"335","NW_016094283.1",2432678,2432678,1,"+"
"336","NW_016094242.1",7244386,7244386,1,"-"
"337","NW_016094537.1",79568,79568,1,"+"
